Time	Potential 1	Potential 2	Potential 3	Potential 4
t	    Pot 1	    Pot 2	    Pot 3	    Pot 4	   
s	    V	        V	        V	        V	       
								
3700	1.677660	0.051282	2.057390	2.601950	
3710	1.689870	0.051282	2.072040	2.621490	
3720	1.702080	0.052503	2.084250	2.638580	
3730	1.711840	0.052503	2.098900	2.656900	
3740	1.720390	0.053724	2.114770	2.676430	
3750	1.727720	0.053724	2.128210	2.692310	
3760	1.733820	0.054945	2.141640	2.709400	
3770	1.737480	0.054945	2.156290	2.727720	
3780	1.738710	0.056166	2.168500	2.746030	
3790	1.738710	0.056166	2.183150	2.763130	
3800	1.735040	0.056166	2.194140	2.780220	
3810	1.728940	0.057387	2.208790	2.797310	
3820	1.719170	0.058608	2.221000	2.814410	
3830	1.706960	0.058608	2.235650	2.831500	
3840	1.692310	0.058608	2.247860	2.847370	
3850	1.672770	0.058608	2.258850	2.864470	
3860	1.652010	0.059829	2.272280	2.881560	
3870	1.627590	0.059829	2.283270	2.894990	
3880	1.599510	0.061050	2.295480	2.912090	
3890	1.570210	0.061050	2.306470	2.926740	
3900	1.538460	0.061050	2.318680	2.941390	
3910	1.505490	0.062271	2.329670	2.958490	
3920	1.470090	0.063492	2.341880	2.973140	
3930	1.433460	0.063492	2.354090	2.987790	
3940	1.393160	0.063492	2.363860	3.002440	
3950	1.350430	0.064713	2.377290	3.018320	
3960	1.307690	0.064713	2.388280	3.032970	
3970	1.263740	0.064713	2.399270	3.046400	
3980	1.221000	0.065934	2.409040	3.061050	
3990	1.178270	0.065934	2.420020	3.074480	
4000	1.136750	0.065934	2.431010	3.090350	
4010	1.095240	0.067155	2.443220	3.103790	
4020	1.053720	0.068376	2.454210	3.117220	
4030	1.014650	0.068376	2.462760	3.130650	
4040	0.975580	0.068376	2.472530	3.145300	
4050	0.938950	0.068376	2.482300	3.157510	
4060	0.907204	0.069597	2.488400	3.172160	
4070	0.876679	0.069597	2.496950	3.186810	
4080	0.846154	0.070818	2.507940	3.200240	
4090	0.813187	0.070818	2.517700	3.211230	
4100	0.780220	0.070818	2.529910	3.223440	
4110	0.749695	0.070818	2.539680	3.236870	
4120	0.726496	0.072039	2.545790	3.249080	
4130	0.705739	0.073260	2.553110	3.262520	
4140	0.687424	0.073260	2.558000	3.274730	
4150	0.669109	0.073260	2.566540	3.284490	
4160	0.653236	0.074481	2.571430	3.295480	
4170	0.636142	0.074481	2.578750	3.304030	
4180	0.620269	0.074481	2.586080	3.312580	
4190	0.604396	0.074481	2.592190	3.323570	
4200	0.588523	0.074481	2.597070	3.330890	
4210	0.573871	0.075702	2.605620	3.338220	
4220	0.559219	0.075702	2.608060	3.347990	
4230	0.544567	0.075702	2.615380	3.355310	
4240	0.531136	0.075702	2.620270	3.363860	
4250	0.518926	0.076923	2.626370	3.368740	
4260	0.505495	0.076923	2.631260	3.378510	
4270	0.494505	0.076923	2.637360	3.384620	
4280	0.482295	0.076923	2.642250	3.393160	
4290	0.471306	0.076923	2.648350	3.400490	
4300	0.460317	0.078144	2.653240	3.407810	
4310	0.449328	0.078144	2.659340	3.415140	
4320	0.438339	0.078144	2.665450	3.422470	
4330	0.428571	0.078144	2.670330	3.429790	
4340	0.418803	0.078144	2.676430	3.438340	
4350	0.409035	0.078144	2.682540	3.444440	
4360	0.399267	0.078144	2.687420	3.451770	
4370	0.389499	0.078144	2.693530	3.459100	
4380	0.380952	0.079365	2.699630	3.466420	
4390	0.372405	0.079365	2.703300	3.473750	
4400	0.362637	0.079365	2.710620	3.481070	
4410	0.354090	0.079365	2.715510	3.488400	
4420	0.346764	0.079365	2.721610	3.496950	
4430	0.338217	0.080586	2.727720	3.504270	
4440	0.329670	0.080586	2.735040	3.512820	
4450	0.322344	0.080586	2.738710	3.520150	
4460	0.315018	0.080586	2.746030	3.527470	
4470	0.306471	0.081807	2.750920	3.534800	
4480	0.299145	0.081807	2.757020	3.543350	
4490	0.291819	0.081807	2.761900	3.550670	
4500	0.285714	0.081807	2.770450	3.558000	
4510	0.278388	0.083028	2.774110	3.566540	
4520	0.271062	0.083028	2.783880	3.575090	
4530	0.264957	0.083028	2.788770	3.582420	
4540	0.258852	0.083028	2.793650	3.590960	
4550	0.252747	0.083028	2.800980	3.598290	
4560	0.246642	0.084249	2.805860	3.608060	
4570	0.240537	0.084249	2.811970	3.616610	
4580	0.234432	0.084249	2.819290	3.625150	
4590	0.229548	0.084249	2.825400	3.631260	
4600	0.223443	0.084249	2.831500	3.639800	
4610	0.218559	0.085470	2.836390	3.649570	
4620	0.212454	0.085470	2.843710	3.658120	
4630	0.207570	0.085470	2.849820	3.665450	
4640	0.202686	0.086691	2.855920	3.673990	
4650	0.197802	0.086691	2.863250	3.683760	
4660	0.192918	0.086691	2.870570	3.691090	
4670	0.188034	0.086691	2.874240	3.699630	
4680	0.184371	0.086691	2.880340	3.708180	
4690	0.179487	0.087912	2.888890	3.716730	
4700	0.175824	0.087912	2.893770	3.725270	
4710	0.172161	0.087912	2.901100	3.733820	
4720	0.167277	0.087912	2.907200	3.741150	
4730	0.163614	0.087912	2.914530	3.749690	
4740	0.159951	0.089133	2.921860	3.757020	
4750	0.156288	0.089133	2.925520	3.768010	
4760	0.152625	0.089133	2.932850	3.776560	
4770	0.148962	0.090354	2.938950	3.783880	
4780	0.145299	0.090354	2.946280	3.792430	
4790	0.141636	0.090354	2.951160	3.800980	
4800	0.137973	0.090354	2.958490	3.810750	
4810	0.135531	0.091575	2.965810	3.818070	
4820	0.131868	0.091575	2.971920	3.826620	
4830	0.129426	0.091575	2.978020	3.835170	
4840	0.126984	0.091575	2.985350	3.846150	
4850	0.123321	0.091575	2.991450	3.853480	
4860	0.120879	0.092796	2.997560	3.863250	
4870	0.118437	0.092796	3.003660	3.870570	
4880	0.115995	0.092796	3.009770	3.879120	
4890	0.113553	0.094017	3.015870	3.888890	
4900	0.111111	0.094017	3.020760	3.897440	
4910	0.108669	0.094017	3.029300	3.905980	
4920	0.106227	0.094017	3.035410	3.915750	
4930	0.103785	0.094017	3.041510	3.924300	
4940	0.101343	0.095238	3.046400	3.932850	
4950	0.098901	0.095238	3.053720	3.941390	
4960	0.097680	0.095238	3.059830	3.949940	
4970	0.095238	0.095238	3.065930	3.958490	
4980	0.094017	0.096459	3.072040	3.967030	
4990	0.091575	0.096459	3.079370	3.976800	
5000	0.089133	0.096459	3.086690	3.985350	
5010	0.087912	0.097680	3.090350	3.993900	
5020	0.085470	0.097680	3.095240	4.003660	
5030	0.084249	0.097680	3.103790	4.010990	
5040	0.083028	0.097680	3.109890	4.019540	
5050	0.080586	0.097680	3.116000	4.028080	
5060	0.079365	0.097680	3.123320	4.036630	
5070	0.078144	0.098901	3.128210	4.046400	
5080	0.075702	0.098901	3.133090	4.053720	
5090	0.074481	0.098901	3.140420	4.063490	
5100	0.073260	0.100122	3.145300	4.070820	
5110	0.072039	0.100122	3.153850	4.081810	
5120	0.070818	0.100122	3.158730	4.087910	
5130	0.069597	0.100122	3.164840	4.096460	
5140	0.067155	0.101343	3.169720	4.106230	
5150	0.067155	0.101343	3.177050	4.113550	
5160	0.064713	0.101343	3.181930	4.122100	
5170	0.064713	0.102564	3.188030	4.129430	
5180	0.063492	0.102564	3.192920	4.139190	
5190	0.061050	0.102564	3.199020	4.146520	
5200	0.061050	0.103785	3.205130	4.153850	
5210	0.059829	0.103785	3.212450	4.161170	
5220	0.058608	0.103785	3.217340	4.169720	
5230	0.057387	0.103785	3.221000	4.178270	
5240	0.056166	0.103785	3.227110	4.185590	
5250	0.056166	0.103785	3.233210	4.192920	
5260	0.054945	0.105006	3.236870	4.201470	
5270	0.053724	0.105006	3.244200	4.208790	
5280	0.053724	0.105006	3.246640	4.216120	
5290	0.051282	0.105006	3.253970	4.224660	
5300	0.051282	0.106227	3.260070	4.233210	
5310	0.051282	0.105006	3.267400	4.239320	
5320	0.050061	0.106227	3.271060	4.245420	
5330	0.048840	0.106227	3.277170	4.253970	
5340	0.047619	0.106227	3.282050	4.262520	
5350	0.047619	0.107448	3.284490	4.268620	
5360	0.046398	0.106227	3.291820	4.274730	
5370	0.046398	0.107448	3.297920	4.282050	
5380	0.045177	0.107448	3.304030	4.290600	
5390	0.045177	0.108669	3.307690	4.296700	
5400	0.043956	0.108669	3.312580	4.304030	
5410	0.043956	0.108669	3.317460	4.312580	
5420	0.042735	0.108669	3.322340	4.319900	
5430	0.041514	0.108669	3.327230	4.326010	
5440	0.041514	0.109890	3.330890	4.333330	
5450	0.040293	0.109890	3.337000	4.340660	
5460	0.040293	0.109890	3.341880	4.346760	
5470	0.039072	0.109890	3.345540	4.354090	
5480	0.039072	0.109890	3.354090	4.360200	
5490	0.039072	0.111111	3.357750	4.366300	
5500	0.039072	0.111111	3.362640	4.373630	
5510	0.037851	0.112332	3.367520	4.379730	
5520	0.036630	0.112332	3.371180	4.387060	
5530	0.036630	0.112332	3.374850	4.394380	
5540	0.036630	0.112332	3.380950	4.400490	
5550	0.035409	0.112332	3.385840	4.406590	
5560	0.035409	0.112332	3.390720	4.412700	
5570	0.034188	0.112332	3.391940	4.417580	
5580	0.034188	0.113553	3.398050	4.426130	
5590	0.034188	0.113553	3.404150	4.432230	
5600	0.034188	0.113553	3.409040	4.437120	
5610	0.032967	0.113553	3.412700	4.443220	
5620	0.032967	0.114774	3.418800	4.449330	
5630	0.032967	0.114774	3.422470	4.454210	
5640	0.031746	0.113553	3.427350	4.462760	
5650	0.031746	0.114774	3.429790	4.468860	
5660	0.031746	0.114774	3.435900	4.473750	
5670	0.030525	0.114774	3.439560	4.479850	
5680	0.030525	0.114774	3.443220	4.485960	
5690	0.030525	0.115995	3.446890	4.493280	
