Temperature	Germanium	Nickel	Copper
T	        R1	        R2	    R3
K	        au	        au	    au
241.026	    1.187026	0.711561	0.811052
242.979	    1.200381	0.730792	0.817294
245.055	    1.213737	0.730792	0.824061
247.009	    1.228054	0.730792	0.830303
248.84	    1.240456	0.750024	0.837064
250.672	    1.25382	    0.769255	0.843826
252.625	    1.265268	0.769255	0.850592
254.701	    1.277671	0.769255	0.857354
256.654	    1.290073	0.788488	0.863596
258.242	    1.300568	0.807719	0.869838
260.195	    1.311071	0.807719	0.876604
262.149	    1.320613	0.807719	0.882846
263.858	    1.330155	0.826951	0.888049
265.69	    1.337783	0.826951	0.894291
267.643	    1.344464	0.846182	0.901052
269.231	    1.350193	0.846182	0.906779
270.94	    1.35496	    0.865413	0.912501
272.772	    1.35782	    0.865413	0.918743
274.603	    1.358781	0.884645	0.923945
276.313	    1.358781	0.884645	0.930187
278.022	    1.355913	0.884645	0.93487
279.731	    1.351146	0.903876	0.941112
281.441	    1.343511	0.923108	0.946314
283.15	    1.333969	0.923108	0.952556
284.737	    1.32252	    0.923108	0.957759
286.447	    1.30725	    0.923108	0.962441
288.156	    1.291026	0.942339	0.968164
289.499	    1.271942	0.942339	0.972846
291.209	    1.249998	0.96157	    0.978049
292.674	    1.2271	    0.96157	    0.982731
294.139	    1.202288	0.96157	    0.987934
295.849	    1.176523	0.980802	0.992616
297.314	    1.148858	1.000033	0.997818
298.779	    1.120232	1.000033	1.003021
300.244	    1.088738	1.000033	1.007184
301.832	    1.055345	1.019264	1.012906
303.297	    1.021944	1.019264	1.017588
304.64	    0.987598	1.019264	1.022271
306.105	    0.954197	1.038496	1.026434
307.448	    0.920804	1.038496	1.031112
309.035	    0.888357	1.038496	1.035795
310.379	    0.855917	1.057727	1.040997
311.722	    0.82347	    1.076959	1.04568
313.065	    0.792937	1.076959	1.049323
314.53	    0.762404	1.076959	1.053485
315.751	    0.733778	1.076959	1.057648
317.216	    0.708969	1.09619	    1.060247
318.681	    0.685114	1.09619	    1.06389
320.024	    0.661259	1.115421	1.068573
321.123	    0.635496	1.115421	1.072731
322.344	    0.609733	1.115421	1.077934
323.687	    0.585878	1.115421	1.082096
324.908	    0.567748	1.134653	1.0847
326.252	    0.551527	1.153884	1.087818
327.473	    0.537214	1.153884	1.089902
328.449	    0.522901	1.153884	1.093541
329.548	    0.510496	1.173115	1.095624
330.403	    0.497137	1.173115	1.098743
331.258	    0.484733	1.173115	1.101866
332.357	    0.472328	1.173115	1.10447
333.089	    0.459924	1.173115	1.106549
333.822	    0.448473	1.192347	1.110192
334.799	    0.437023	1.192347	1.111231
335.531	    0.425573	1.192347	1.11435
336.386	    0.415076	1.192347	1.116434
336.874	    0.405534	1.211578	1.119033
337.851	    0.395038	1.211578	1.121116
338.462	    0.38645	    1.211578	1.123715
339.316	    0.376908	1.211578	1.125799
340.049	    0.36832	    1.211578	1.128398
340.781	    0.359732	1.23081	1.130481
341.514	    0.351144	1.23081	1.133081
342.247	    0.342557	1.23081	1.135684
342.979	    0.334923	1.23081	1.137763
343.834	    0.32729	    1.23081	1.140362
344.444	    0.319656	1.23081	1.142965
345.177	    0.312022	1.23081	1.145045
345.91	    0.304389	1.23081	1.147648
346.642	    0.297709	1.250041	1.150247
347.375	    0.29103	    1.250041	1.151811
348.107	    0.283397	1.250041	1.15493
348.84	    0.276717	1.250041	1.157013
349.695	    0.270992	1.250041	1.159612
350.427	    0.264313	1.269272	1.162216
351.282	    0.257633	1.269272	1.165334
352.015	    0.251908	1.269272	1.166898
352.747	    0.246183	1.269272	1.170017
353.48	    0.239503	1.288504	1.172101
354.335	    0.233778	1.288504	1.1747
355.067	    0.228053	1.288504	1.176779
355.8	    0.223282	1.288504	1.180422
356.654	    0.217557	1.307735	1.181981
357.509	    0.211832	1.307735	1.186144
358.242	    0.207061	1.307735	1.188228
359.096	    0.20229	    1.307735	1.190307
359.829	    0.197519	1.307735	1.19343
360.806	    0.192748	1.326966	1.195509
361.661	    0.187977	1.326966	1.198112
362.515	    0.183206	1.326966	1.201231
363.126	    0.179389	1.326966	1.203835
363.98	    0.174618	1.326966	1.206434
364.957	    0.170801	1.346198	1.208517
365.812	    0.16603	    1.346198	1.211636
366.545	    0.162213	1.346198	1.214239
367.399	    0.158397	1.365429	1.216839
368.376	    0.15458	    1.365429	1.219962
369.109	    0.150763	1.365429	1.223081
369.963	    0.146946	1.365429	1.224644
370.818	    0.144084	1.365429	1.227243
371.673	    0.140267	1.384661	1.230886
372.527	    0.137404	1.384661	1.232965
373.382	    0.134542	1.384661	1.236089
374.115	    0.130725	1.384661	1.238688
374.969	    0.127862	1.384661	1.241811
375.702	    0.125	    1.403892	1.244934
376.801	    0.122137	1.403892	1.246493
377.656	    0.119275	1.403892	1.249617
378.388	    0.116412	1.423123	1.252216
379.243	    0.113549	1.423123	1.255339
380.098	    0.110687	1.423123	1.257418
381.075	    0.107824	1.423123	1.260541
381.807	    0.105916	1.442355	1.26366
382.662	    0.103053	1.442355	1.266263
383.517	    0.101145	1.442355	1.268862
384.615	    0.099236	1.442355	1.271986
385.348	    0.096374	1.442355	1.274585
386.325	    0.094466	1.461586	1.277188
387.057	    0.092557	1.461586	1.279787
387.912	    0.090649	1.461586	1.28239
388.889	    0.08874	    1.480817	1.284989
389.744	    0.086832	1.480817	1.287073
390.598	    0.084924	1.480817	1.290712
391.575	    0.083015	1.480817	1.293315
392.43	    0.081107	1.480817	1.295914
393.285	    0.079198	1.500049	1.297997
394.139	    0.07729 	1.500049	1.301116
394.994	    0.076336	1.500049	1.30372
395.849	    0.074427	1.500049	1.306319
396.703	    0.073473	1.51928 	1.308922
397.68	    0.071565	1.51928 	1.312045
398.535	    0.069656	1.51928 	1.315164
399.39	    0.068702	1.538512	1.316723
400.366	    0.066794	1.538512	1.318807
401.099	    0.06584	    1.538512	1.32245
401.954	    0.064885	1.538512	1.325049
402.808	    0.062977	1.538512	1.327652
403.663	    0.062023	1.538512	1.330771
404.64	    0.061069	1.557743	1.332855
405.372	    0.05916	    1.557743	1.334934
406.349	    0.058206	1.557743	1.338057
407.082	    0.057252	1.576973	1.340136
408.181	    0.056298	1.576973	1.343779
408.791	    0.055344	1.576973	1.345859
409.646	    0.054389	1.576973	1.348462
410.623	    0.052481	1.596204	1.350541
411.355	    0.052481	1.596204	1.353664
412.21	    0.050573	1.596204	1.355744
412.943	    0.050573	1.615436	1.358343
413.919	    0.049618	1.615436	1.360426
414.652	    0.04771	    1.615436	1.363025
415.385	    0.04771	    1.634667	1.365628
416.117	    0.046756	1.634667	1.368747
416.972	    0.045802	1.634667	1.370831
417.827	    0.044847	1.634667	1.37239
418.559	    0.043893	1.634667	1.374994
419.292	    0.043893	1.634667	1.377593
420.147	    0.042939	1.653898	1.379152
420.879	    0.041985	1.653898	1.382275
421.612	    0.041985	1.653898	1.383315
422.466	    0.040076	1.653898	1.386438
423.321	    0.040076	1.67313	    1.389037
423.932	    0.040076	1.653898	1.39216
424.542	    0.039122	1.67313	    1.39372
425.397	    0.038168	1.67313	    1.396323
426.252	    0.037214	1.67313	    1.398402
426.862	    0.037214	1.692361	1.399442
427.473	    0.036259	1.67313	    1.402565
428.205	    0.036259	1.692361	1.405164
429.06	    0.035305	1.692361	1.407767
429.67	    0.035305	1.711592	1.409327
430.403	    0.034351	1.711592	1.41141
431.258	    0.034351	1.711592	1.41349
431.99	    0.033397	1.711592	1.415569
432.601	    0.032443	1.711592	1.417652
433.333	    0.032443	1.730824	1.419212
434.066	    0.031489	1.730824	1.421815
434.676	    0.031489	1.730824	1.423894
435.409	    0.030534	1.730824	1.425454
436.02	    0.030534	1.730824	1.429097
436.63	    0.030534	1.750055	1.430656
437.363	    0.030534	1.750055	1.43274
437.973	    0.02958 	1.769287	1.434819
438.706	    0.028626	1.769287	1.436378
439.438	    0.028626	1.769287	1.437942
440.049	    0.028626	1.769287	1.440541
440.659	    0.027672	1.769287	1.442625
441.27	    0.027672	1.769287	1.444704
441.758	    0.026718	1.769287	1.445224
442.613	    0.026718	1.788518	1.447827
443.223	    0.026718	1.788518	1.450426
443.712	    0.026718	1.788518	1.45251
444.322	    0.025763	1.788518	1.454069
444.933	    0.025763	1.807749	1.456668
445.421	    0.025763	1.807749	1.458232
446.276	    0.024809	1.788518	1.460311
446.886	    0.024809	1.807749	1.461351
447.375	    0.024809	1.807749	1.463954
447.985	    0.023855	1.807749	1.465513
448.596	    0.023855	1.807749	1.467073
449.328	    0.023855	1.826981	1.468637
449.817	    0.022901	1.826981	1.470196
450.183	    0.022901	1.826981	1.472795
451.038	    0.022901	1.826981	1.474359
451.282	    0.022901	1.846212	1.476438
452.015	    0.022901	1.846212	1.477997
452.503	    0.021947	1.846212	1.479561
453.114	    0.021947	1.846212	1.48164
453.724	    0.021947	1.846212	1.4832
454.09	    0.020992	1.846212	1.484764
454.823	    0.020992	1.865443	1.486323
455.433	    0.020992	1.865443	1.487882
456.044	    0.020992	1.865443	1.488926
456.532	    0.020992	1.865443	1.490486
457.387	    0.020038	1.865443	1.491525
457.753	    0.020038	1.884675	1.493085
